secID,publishDate,endDate,tRevenue,revenue,COGS,operateProfit,TProfit,NIncome,NIncomeAttrP,basicEPS,sellExp,adminExp
000528.XSHE,2022-03-31,2021-12-31,28700729485.25,28700729485.25,23685817438.24,1232578218.56,1255844875.88,1017750977.17,995312780.88,0.51,2039944413.33,1529777368.49
000537.XSHE,2025-04-29,2024-12-31,3840214222.41,3840214222.41,1739300320.74,1307324030.57,1338115150.26,1183484089.27,1008572744.14,0.5,,259169514.47
000537.XSHE,2025-04-29,2023-12-31,3690586799.66,3690586799.66,1714650018.88,1150312880.27,1167936986.53,1018706565.81,919575847.18,0.49,,296743495.19
000537.XSHE,2024-04-30,2023-12-31,3690586799.66,3690586799.66,1714650018.88,1150312880.27,1167936986.53,1018706565.81,919575847.18,0.49,,296743495.19
000537.XSHE,2024-04-30,2022-12-31,3429807903.77,3429807903.77,1597756562.98,818236846.18,817510442.75,730548939.49,633574878.72,0.34,,360687076.53
000537.XSHE,2023-03-30,2022-12-31,3429807903.77,3429807903.77,1597756562.98,818236846.18,817510442.75,729555407.11,632699175.52,0.34,,360687076.53
000537.XSHE,2023-03-30,2021-12-31,19582991766.7,19582991766.7,13086367127.79,-515342476.26,221132203.88,-218287149.55,-314956765.11,-0.17,603890497.76,751437567.37
000537.XSHE,2022-10-27,2021-12-31,16235778609.5,16235778609.5,11522902889.22,-1174403758.8,-1165870748.59,-1373484389.46,-1357832006.29,-0.73,603890497.76,534981368.41
000537.XSHE,2022-04-29,2021-12-31,16235778609.5,16235778609.5,11522902889.22,-1174403758.8,-1165870748.59,-1373484389.46,-1357832006.29,-0.73,603890497.76,534981368.41
000538.XSHE,2025-04-01,2024-12-31,40033300814.72,40033300814.72,28864766205.1,5711621822.28,5684719663.99,4767072360.28,4749415499.55,2.66,4879502036.91,1374966784.9
000538.XSHE,2025-04-01,2023-12-31,39111292156.0,39111292156.0,28744517640.29,4830506110.42,4818011756.66,4122561096.49,4093782074.02,2.29,4992157591.11,1394516958.73
000538.XSHE,2024-03-30,2023-12-31,39111292156.0,39111292156.0,28744517640.29,4830506110.42,4818011756.66,4122561096.49,4093782074.02,2.29,4992157591.11,1394516958.73
000538.XSHE,2024-03-30,2022-12-31,36488372649.73,36488372649.73,26883485305.46,3371279186.1,3377002423.7,2840409694.19,3001125887.45,1.9,4165563900.91,1170507953.72
000538.XSHE,2023-03-31,2022-12-31,36488372649.73,36488372649.73,26883485305.46,3371279186.1,3377002423.7,2840409694.19,3001125887.45,1.9,4165563900.91,1170507953.72
000538.XSHE,2023-03-31,2021-12-31,36373919016.03,36373919016.03,26498435121.98,3485168544.81,3481646183.78,2797660561.76,2804916715.84,2.21,3896216726.54,1410822722.31
